City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
kruisfontein,-34,24.73,73.31,84,90,13.29
dinklage,52.65,8.12,43.81,87,38,9.17
intipuca,13.2,-88.05,91.42,49,20,13.87
kieta,-6.22,155.63,80.06,78,100,6.82
omsukchan,62.53,155.8,-22.07,97,94,4.85
veshenskaya,49.63,41.73,25.11,90,100,10.42
santo tomas,14.11,121.14,77.36,74,20,2.24
ucluelet,48.93,-125.55,35.24,69,75,3.36
santa cruz,-17.8,-63.17,89.53,58,75,12.75
dalhousie,32.53,75.98,41.68,73,100,1.57
pullman,46.73,-117.18,37.81,64,90,5.82
george,-33.96,22.46,73.4,94,82,4.7
ye,,,,,,
vangaindrano,-23.35,47.6,71.06,98,100,1.3
rodino,52.5,80.25,8.28,85,15,21.68
maryborough,-25.53,152.7,75.36,76,94,2.24
viligili,,,,,,
guhagar,17.48,73.19,71.71,64,0,14.29
richards bay,-28.78,32.04,79.52,82,6,12.57
mancio lima,-7.61,-72.9,87.8,66,40,0.49
bonavista,48.65,-53.11,18,79,10,5.01
chara,56.91,118.26,-10.93,74,72,0.31
teruel,40.67,-0.67,42.28,80,4,8.05
lashio,22.93,97.75,51.66,81,0,1.92
tairua,-37.02,175.85,69.98,58,10,8.01
sabang,5.89,95.32,81.43,76,100,14.5
la orilla,17.98,-102.23,86.22,53,2,8.5
torres,-29.34,-49.73,72.32,60,67,23.98
nyurba,63.28,118.33,-13.2,97,52,4.27
santa maria,-29.68,-53.81,77,53,100,9.17
polazna,58.29,56.41,33.8,100,90,13.42
elliot,-31.33,27.85,66.65,52,0,5.53
katherine,-14.47,132.27,77,78,40,4.7
dongsheng,39.82,109.98,11.66,95,100,7.67
loanda,-8.84,13.23,82.4,78,20,5.82
kakonko,-3.28,30.96,65.77,94,100,1.43
tawkar,,,,,,
palu,-0.89,119.87,70.27,98,100,0.81
tarauaca,-8.16,-70.77,91.51,46,40,1.43
naugarzan,,,,,,
kahului,20.89,-156.47,75.45,69,40,8.05
chiredzi,-21.05,31.67,74.75,82,99,2.71
plainview,40.78,-73.47,41.23,48,75,18.34
