City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
bac lieu,9.29,105.72,21.93,95.0,0.0,0.96
anshun,26.25,105.93,3.91,77.0,100.0,3.11
skibbereen,51.55,-9.27,5.0,93.0,75.0,2.6
yinchuan,38.47,106.27,-7.72,74.0,0.0,1.16
port-cartier,50.03,-66.87,-10.69,61.0,75.0,3.1
bressuire,46.92,-0.5,11.87,78.0,17.0,0.89
malinovoye ozero,51.68,79.78,-12.8,82.0,21.0,7.75
carbonear,47.73,-53.21,-8.05,78.0,40.0,2.6
osa,57.28,55.46,2.83,97.0,100.0,6.06
birao,10.28,22.79,25.63,14.0,0.0,3.58
stornoway,58.21,-6.39,7.38,87.0,88.0,9.8
iqaluit,63.75,-68.51,-30.0,67.0,40.0,9.3
santa rosa,14.31,121.11,25.16,74.0,20.0,1.5
nantucket,41.28,-70.1,5.35,48.0,90.0,10.3
marzuq,14.4,46.47,8.38,21.0,0.0,1.64
hay river,60.82,-115.8,-32.0,67.0,75.0,1.7
makat,47.65,53.35,-2.08,74.0,98.0,6.1
bentiu,9.23,29.83,25.96,21.0,0.0,1.01
urengoy,65.97,78.37,-11.21,93.0,100.0,7.2
ruatoria,,,,,,
balsa,46.03,23.12,-1.87,66.0,0.0,1.01
xiamen,24.48,118.08,15.0,87.0,90.0,3.0
valverde del camino,37.58,-6.75,13.73,73.0,97.0,2.24
mercedes,-34.65,-59.43,25.72,36.0,0.0,1.34
muravlenko,63.79,74.52,-6.62,94.0,100.0,6.94
gezing,47.92,13.13,0.55,80.0,3.0,2.1
kamenskoye,,,,,,
san quintin,30.48,-115.95,15.77,62.0,0.0,3.84
bom jardim,-7.8,-35.59,31.0,45.0,40.0,7.2
sept-iles,50.2,-66.38,-10.69,61.0,75.0,3.1
awbari,26.59,12.78,10.91,68.0,86.0,2.67
royan,45.63,-1.03,11.95,71.0,29.0,9.3
ucluelet,48.93,-125.55,2.33,69.0,75.0,4.6
liloy,8.11,122.66,23.99,92.0,92.0,0.86
yeppoon,-23.13,150.73,23.0,73.0,75.0,9.8
aljezur,37.32,-8.8,16.41,89.0,100.0,2.24
angoche,-16.23,39.91,25.29,92.0,100.0,2.23
kuusamo,65.97,29.18,-5.0,92.0,90.0,1.5
isiro,2.77,27.62,23.06,46.0,25.0,1.25
tayoltita,24.08,-105.93,26.37,32.0,100.0,2.62
bismil,37.85,40.67,3.01,44.0,75.0,5.7
luwuk,-0.95,122.79,27.64,75.0,100.0,2.52
kang,-23.68,22.79,26.05,32.0,24.0,3.29
abapo,-18.83,-63.47,25.05,90.0,84.0,0.74
cassilandia,-19.11,-51.73,31.61,67.0,69.0,0.19
sobolevo,54.43,31.9,0.84,92.0,82.0,3.72
debre tabor,11.85,38.02,15.73,33.0,0.0,1.79
zhiryatino,53.22,33.73,1.12,94.0,100.0,3.81
igrim,63.19,64.42,-2.73,97.0,100.0,3.78
tamworth,52.63,-1.7,10.38,93.0,75.0,4.6
kaeo,-35.1,173.78,20.24,73.0,4.0,1.34
clyde river,70.47,-68.59,-23.0,76.0,90.0,5.1
khonuu,,,,,,
santa maria,-29.68,-53.81,25.0,53.0,100.0,4.1
haines junction,60.75,-137.51,-29.6,95.0,2.0,4.94
pauini,-7.71,-66.98,31.82,60.0,97.0,0.81
tsuruoka,38.72,139.82,-3.13,98.0,100.0,1.96
gazimurskiy zavod,51.55,118.33,-23.44,94.0,22.0,0.92
scarborough,54.28,-0.4,10.86,81.0,100.0,6.2
vila franca do campo,37.72,-25.43,14.0,82.0,40.0,3.1
labuan,5.28,115.24,25.84,88.0,75.0,1.0
dom pedro,-4.48,-44.45,26.21,92.0,92.0,0.74
santiago del estero,-27.8,-64.26,23.53,28.0,100.0,2.71
ciras,,,,,,
troitsko-pechorsk,62.71,56.2,-8.15,87.0,98.0,4.59
yerbogachen,61.28,108.01,-11.35,94.0,100.0,3.64
neryungri,56.67,124.65,-22.01,89.0,37.0,2.37
araouane,18.9,-3.53,19.16,13.0,100.0,4.94
umm kaddadah,13.6,26.69,22.21,25.0,0.0,6.17
ulety,51.36,112.48,-19.79,91.0,72.0,1.45
bowen,-20.02,148.23,25.48,94.0,12.0,2.6
gat,31.61,34.76,14.22,77.0,75.0,3.1
yanan,,,,,,
andarab,,,,,,
turukhansk,65.82,87.98,-12.19,93.0,100.0,8.26
siniscola,40.57,9.69,5.0,93.0,21.0,0.5
evinayong,1.44,10.55,21.3,97.0,100.0,1.05
claremont,34.1,-117.72,14.14,62.0,1.0,4.1
comodoro rivadavia,-45.87,-67.5,21.0,26.0,0.0,8.2
marfino,55.7,37.38,2.41,92.0,75.0,5.0
ilo,-17.64,-71.34,25.0,73.0,45.0,4.1
tucurui,-3.77,-49.67,26.19,89.0,100.0,0.65
bereda,43.27,-7.54,9.17,93.0,20.0,4.6
amontada,-3.36,-39.83,26.07,87.0,100.0,1.49
sandur,15.1,76.55,18.6,62.0,39.0,3.14
deer lake,49.17,-57.43,-4.16,79.0,90.0,4.1
taft,31.75,54.21,2.0,74.0,54.0,1.0
pekan,3.48,103.4,23.97,88.0,20.0,1.5
kaga,36.3,136.31,3.0,93.0,75.0,2.1
ngukurr,,,,,,
preobrazheniye,42.9,133.91,-13.77,73.0,0.0,3.42
cururupu,-1.83,-44.87,27.39,74.0,87.0,1.92
mana,5.66,-53.78,26.95,75.0,67.0,2.39
asfi,32.3,-9.24,9.86,62.0,59.0,0.87
milingimbi,,,,,,
el alto,-4.27,-81.21,17.0,100.0,100.0,7.2
deputatskiy,69.3,139.9,-29.59,92.0,100.0,2.21
necochea,-38.55,-58.74,18.25,53.0,0.0,4.02
itacare,-14.28,-39.0,30.0,70.0,0.0,3.6
